header,content,is_substantive,function,topic,source_jurisdiction_type,state,city,county,enforcement_discretion,opacity,paternalism,problem_salience
## § 32.42 COUNTY ROAD SYSTEMS.,"(A) The county will protect the efficient functioning of existing roads by limiting access where necessary, protecting rights-of-way from unnecessary encroachments, and ensuring that utility work and other necessary encroachments do not create safety hazards or result in added maintenance costs.

(B) A description of the county’s road network will be provided by the County Road Department. These strategies apply to both county roads and public roads that are not maintained by the county.

(1) Safe, adequate access to new developments will be required in the county.

(2) The county will clarify the status of existing county and public roads, and adopt permit requirements and standards for encroachment.

(3) The County Road Department will provide an annually updated road inventory map with classes of all roads within the county clearly coded.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",True,Rules,Zoning,counties,id,,franklincounty,-0.466796875,-0.06292724609375,-0.53271484375,0.303955078125
## § 32.43 AIRPORTS.,"(A) It shall be the county’s policy to protect the public investment in local airports and the safety of air travelers by adopting airport area height limitations and safety restrictions, as recommended by the Federal Aviation Administration.

(B) There is one airport in the county: the Preston Municipal Airport. The county’s strategy for implementation of this policy will be to prevent any conflict with the operation of Preston’s Municipal Airport and assure the integrity of the airport by adopting, and enforcing the relevant portions of the Federal Aviation Administration regulations for “Objects Affecting Navigable Airspace”.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",True,Rules,Buildings,counties,id,,franklincounty,-0.281005859375,0.0850830078125,-0.28955078125,0.8681640625
## § 32.44 WASTE DISPOSAL.,"Solid waste disposal, salvage waste handling, and recyclable waste handling require constant surveillance and compliance with applicable federal, state, and local authority.

(A) The county will maintain a central landfill that is in compliance with EPA, DEQ, Southeastern District Health Department, and Idaho Code requirements at all times.

(B) The county may provide and maintain an EPA, DEQ, and state approved recycling facility at the designated county landfill. Recycling of materials that are economically sustainable is encouraged.

(C) The county’s unlicensed or abandoned vehicle ordinance will be enforced to establish and control salvaged and/or storage of wrecked, abandoned, or unlicensed vehicles and equipment.

(D) Hazardous waste materials may be stored or disposed of in county facilities which are in compliance with applicable state and federal regulations.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",True,Rules,Other,counties,id,,franklincounty,0.625,0.0792236328125,-0.11370849609375,1.017578125
## § 32.45 MANUFACTURED HOMES.,"It shall be the policy of the county to use its manufactured home ordinance and/or Development Code to set forth the use,
size, and location requirements for manufactured homes within the county.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",False,Context,,counties,id,,franklincounty,-0.56103515625,-0.75048828125,-0.36572265625,-1.0185546875
## § 32.46 HERD DISTRICTS.,"The county has designated herd districts. These districts are created by authority of Idaho Code § 25-2401 and compliance with those requirements will be enforced by local authority. A map designating the established herd districts will be provided, stored, and kept available by the County Clerk. All uses not designated as herd districts will be open range areas. Movement of livestock on county roads or established routes will be permitted. It is recommended that the County Sheriff’s office be notified prior to movement of livestock on these routes to ensure safety and/or assistance.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",True,Rules,Zoning,counties,id,,franklincounty,-0.415771484375,-0.0640869140625,-0.137939453125,-0.220947265625
## § 32.47 NATIONAL FLOOD INSURANCE PROGRAM.,"(A) It shall be the county’s policy to continue participation in the National Flood Insurance Program. Participation in this Program allows local residents potentially affected by flooding to purchase insurance. Development planning policies will require the protection of stream corridors with construction standards for any development that is permitted within the floodplain.

(B) Detailed maps prepared by the Federal Emergency Management Agency (FEMA) may be reviewed at the County Clerk’s office. Development in these areas not only exposes its occupants to a natural hazard, but may increase flood damages downstream.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",True,Rules,Zoning,counties,id,,franklincounty,-0.51708984375,-0.460205078125,0.407958984375,1.603515625
## § 32.48 EXCHANGE OR SALE OF FEDERAL AND STATE LANDS.,"(A) It shall be the county’s policy to encourage land exchanges that place stream and lakeshore corridors, wetlands, wildlife habitat, and other sensitive areas in public ownership, while placing state and federal lands that are suitable for development in private ownership. The county also recognizes the possibility that state lands may be leased or sold for development. Development resulting from state or federal land exchanges, leases, or sales must comply with this plan and the County Development Code. This policy does not apply to land exchanges between public agencies, for instance, an exchange between the Bureau of Land Management and the state’s Department of Lands.

(B) More than 35% of the county’s land area is in public ownership, but the public/private boundary can change. The exchange, lease, or sale of public lands for development can benefit the people of the county, but only where the transition to private control is made in compliance with the following strategies, which must be cooperatively implemented by the county, state, and federal agencies.

(1) Federal/private land exchanges should result in the protection of sensitive areas in the county.

(2) Federal/private land exchanges and public land leases and sales should be based on specific proposals for the development of suitable sites, and not finalized until the proposed development has been approved by the county. Implementation of this strategy will require the federal agency to have the beneficiary of the exchange retain a design firm, prepare a site plan, and follow the county’s application procedures, just as that person would do if developing private land.

(3) The county believes there is an opportunity for an innovative combination of the federal environmental assessment, state and county planning and zoning review processes on proposed land exchanges. All agencies should use the county plan as a scoping document and the hearing held by the Planning and Zoning Commission as its forum for public input. Representatives of the state’s Bureau of Land Management and Forest Service are encouraged to discuss this possibility with the Commission the next time an exchange is proposed.

(Ord. 2007-8-13B, passed 8-13-2007; Ord. 2022-2-28, passed 2-28-2022)",True,Rules,Zoning,counties,id,,franklincounty,-0.1298828125,0.9775390625,-0.316162109375,0.71435546875
### § 50.002 PURPOSE AND INTENT.,"The purpose and intent of this chapter is to:

(A) Provide for the protection of air, soil, storm water, ground water, and surface water from pollutants by establishing a system for the handling, collection, and processing of solid waste with uniform requirements for direct and indirect contributors;

(B) Promote the health, safety, and general welfare of the citizens of the county, and enhance and preserve the quality and value of the resources of the county by the proper management of solid waste;

(C) Equitably distribute the costs of the solid waste collection and disposal system; and

(D) Encourage composting and recycling by residents.

(Ord. 2003-5, passed 9-22-2003)",False,Context,,counties,id,,franklincounty,-0.5986328125,-0.861328125,-0.2340087890625,0.8427734375
### § 50.003 APPLICATION.,"This chapter shall apply to all persons within the county, including those receiving solid waste services, eligible to receive solid waste services and engaging in the collection of solid waste. It shall not apply to the City of Preston, Idaho, which has
its own trash collection system.

(Ord. 2003-5, passed 9-22-2003)",False,Context,,counties,id,,franklincounty,0.0015268325805664062,-1.3056640625,-0.453857421875,-0.8359375
## § 50.004 REGULATORY CONSISTENCY.,"This chapter shall be construed to assure consistency with state and federal laws, rules, and regulations, and other provisions of the county ordinances.

(Ord. 2003-5, passed 9-22-2003)",False,Context,,counties,id,,franklincounty,-1.23828125,-0.3486328125,-1.126953125,-1.486328125
## § 50.005 DEFINITIONS.,"For the purpose of this chapter, the following definitions shall apply unless the context clearly indicates or requires a different meaning.

**ADA.** The Americans with Disabilities Act.

**BOARD.** The Board of County Commissioners of Franklin County, Idaho.

**BULKY WASTE.** Waste materials, intended or placed for disposal, which are of sizes, weights, or volumes greater than the allowance for furnished trash containers, such as furniture, major appliances, construction debris, dead animals, or hazardous waste.

**BUSINESS.** An establishment used for sales, office, manufacturing, production, entertainment, service, or similar use, whether for profit or not.

**CARRY-OUT SERVICE.** Collection of solid waste achieved by entering upon residential property to load the containers into the collection vehicle.

**COMMERCIAL SERVICE.** Business, agricultural, industrial, institutional, and residential premises which are served by a 300-gallon trash container, as opposed to 100-gallon trash containers.

**COMPOSE AND RECYCLING.** Resident-initiated composting and recycling to protect the environment and reduce unnecessary deposits into the county landfill.

**COUNTY.** Franklin County, Idaho.

**GARBAGE.** Materials discarded for disposal.

**HAZARDOUS WASTE.** Any chemical, compound, mixture, substance, or article which is designated by the United States Environmental Protection Agency or appropriate agency of the state to be a “hazardous waste”, “hazardous materials”, or “hazardous substance” as those terms are defined by federal or state law.

**INSTITUTION.** School, church, child care center, boarding house, military installation, and any entity of a similar nature in the county.

**LITTER.** Garbage or trash scattered about the ground surface.

**MEDICAL WASTE.** Waste consisting of one or more of the following: human tissue, animal tissue, cultures and stocks, body fluids, human blood or blood products, materials contaminated with human blood or blood products, used surgical wastes, used or unused sharp instruments, including, but not limited to, hypodermic needles, suture needles, syringes, and scalpel blades.

**OVERLOADING.** Exceeding the container weight capacity, allowing objects to protrude outside of the container, or stacking objects against containers used for commercial or residential solid waste collection.

**OWNER.** Every person, including lessees and occupants, in possession, charge, custody, or control of any residential, business, or institutional premises within the county where solid waste is created or accumulated.

**PERSON.** Any individual, partnership, association, firm, corporation, public agency, or any other legal entity.

**PROVIDED WASTE CONTAINERS or WASTE CONTAINERS.** Waste containers provided from time to time to residents by the county.

**PUTRESCIBLE WASTE.** Wastes that can decay and stink or become putrid.

**RESIDENT.** An occupant or owner of any premises, including household, apartment, business, institution or other establishment in the county, for which solid waste service is provided.

**RESIDENTIAL PREMISES.** A separate dwelling or residential unit in the county occupied by a person or group of persons where garbage is placed and collected in one or more 100-gallon waste containers. Each separate dwelling unit shall be considered a separate residence for solid waste collection service.

**SCRAP TIRES.** Any motor vehicle tire, new or used, whether or not it is in a condition to be reused, retreaded, or otherwise salvaged, excluding tires held for sale to the general public by a commercial seller.

**SOLID WASTE.** All putrescible and non-putrescible solid and semi-solid waste materials placed or intended for disposal,
including, but not limited to, garbage, trash, rubbish, demolition and construction wastes, industrial wastes, vegetable solid, and other discarded solid and semi-solid wastes.

**VECTOR.** An organism that can transmit disease.

**YARD WASTE.** Plant material such as leaves, grass, brush, flowers, tree wood waste, and debris commonly thrown away in the course of maintaining yards and gardens, and other particular biodegradable waste including Christmas trees.

(Ord. 2003-5, passed 9-22-2003)",False,Context,,counties,id,,franklincounty,1.8134765625,0.8720703125,0.217529296875,0.2164306640625
## § 50.020 GENERALLY.,"Residential solid waste collection service as provided by the county is mandatory for all residential premises and all residents or residential premises shall be charged a fee for this service. Fees for residential customers are not based on the amount of solid waste placed for disposal. The fee shall be set by resolution of the Board, but shall not exceed $8 per month per residential premises.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,-0.43701171875,-1.0771484375,0.482666015625,-0.55810546875
## § 50.021 RESIDENTIAL SOLID WASTE SERVICE.,"(A) Regular service. Curbside collection of solid waste one time per week.

(B) Carry-out service. Regular collection service with the additional provision that the collection vehicle shall enter onto the resident’s property to collect provided solid waste containers. The resident must execute an agreement to save and hold harmless the county and the service provider for any damages before this service can be instituted. Said service must be approved in advance by the Board, and may be disapproved, approved, or approved subject to an additional fee. Approval will be in the discretion of the Board, depending on road accessibility, turnaround capability, and other factors that affect the efficiency of the collection system. In addition, the resident must assure that snow and other obstructions are cleared, such that efficient collection can be accomplished.

(C) Seasonal collections. Each year, the county may establish special dates for the collection of leaves and the collection of Christmas trees.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,1.15234375,-0.43505859375,0.52001953125,-0.2308349609375
## § 50.022 RESIDENTIAL SOLID WASTE CONTAINERS.,"(A) Solid waste shall be placed in provided waste containers.

(B) Location requirements include the following.

(1) For regular service, solid waste containers must be placed curbside, as close to the curb as possible. County shall have final approval or disapproval for container placement.

(2) For carry-out service, containers must be stored in unlocked areas. The containers must not be located in a locked yard.

(3) For regular service or other curbside or alley service, solid waste containers shall not obstruct pedestrian or vehicular traffic.

(4) Solid waste containers placed for collection on the curbside must be clearly visible and accessible, and the containers and collection areas shall be free from any obstructions, such as trees, shrubbery, fences, vehicles, and walls.

(5) Service will not be provided if the collection would require collection personnel to pass through any doors or gates, cross flower beds or lawns, or go through hedges at the service location, or if the collection personnel must place themselves in a situation which could jeopardize their health or safety.

(6) Containers will not be collected from an in-ground or sunken location; they must be placed above ground for collection.

(C) Customers shall be responsible for maintaining the solid waste containers in a sanitary condition, including exterior and interior, and the outside of containers shall be free of accumulating grease, decomposing materials, and litter. Collection locations shall be maintained to ensure no vectors, rodents, or animals are attracted to the site, and to ensure against nuisance conditions.

(D) All solid waste must be in a waste container for collection, and in cases of improper set out which causes an unsanitary condition or a litter problem, collection personnel may issue a warning notice. If the condition persists, the county may take action pursuant to nuisance or littering statutes.

(Ord. 2003-5, passed 9-22-2003) Penalty, see § 50.999",True,Rules,Other,counties,id,,franklincounty,1.142578125,-0.25146484375,1.0283203125,0.916015625
## § 50.023 RESIDENTIAL COLLECTION.,"(A) Solid waste containers shall be placed for collection no later than 7:00 a.m. on the regularly scheduled collection day,
but no sooner than the evening prior to collection. The containers may not remain on the curbside for a period greater than 24 hours.

(B) Regularly scheduled collection days will be determined by the county.

(C) If the containers are not collected for any reason, the resident may choose to store the solid waste until their next scheduled collection day, or may contact the county for a special collection. If the containers were not set out at the required time, the county may charge a fee for the special collection as provided by resolution of the county.

(D) Waste containers shall be filled in such a manner as not to exceed 300 pounds; any containers which exceed said weight may be rejected for collection and disposal.

(Ord. 2003-5, passed 9-22-2003) Penalty, see § 50.999",True,Rules,Other,counties,id,,franklincounty,0.55810546875,-0.986328125,0.73974609375,-0.0026988983154296875
### § 50.035 GENERALLY.,"Commercial solid waste service shall include solid waste collection and disposal; and recyclable materials collection for business, industrial, agricultural, residential, and commercial premises, including governmental agencies, schools, and temporary construction activities.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,-0.58203125,-1.095703125,-0.411376953125,-0.86474609375
### § 50.036 COMMERCIAL SOLID WASTE SERVICE.,"(A) Regular service. Collection of solid waste once weekly.

(B) Temporary service.

(1) Special service for a maximum of 120 days to accommodate construction and demolition projects and other short-term waste generation projects. This service is only available for selected projects and does not replace regular solid waste service for the premises.

(2) Solid waste regularly produced is not permitted in temporary containers. Said service must be approved in advance by the Board, and may be disapproved, approved, or approved subject to an additional fee as require by the Board.

(3) Approval will be in the discretion of the Board, depending on road accessibility, turnaround capability, and other factors that affect the efficiency of the collection system. In addition, the resident must assure that snow and other obstructions are cleared, such that efficient collection can be accomplished.

(C) Waste container service. The county shall provide a 300-gallon waste container for such service. Additional 300-gallon waste containers will be charged an additional fee as set by resolution of the Board.

(D) Dumpster service. Dumpster service will be provided when two waste containers are insufficient and a fee as set by resolution of the Board will be charged.

(E) Commercial service. Commercial solid waste collection service is mandatory, and a fee shall be charged for this service. Fees for commercial service customers shall be a base fee of $7 per month, which shall be assessed on property taxes, plus such additional fees as are determined by the Board, on a case by case basis. Any additional fees shall be based upon volume of garbage, frequency of pick up, accessibility of pick up, and other such factors which affect the efficiency of the collection pick up system.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,1.1904296875,-0.478271484375,0.09002685546875,-0.1705322265625
### § 50.037 SERVICE ACCOUNTS FOR NON-PROPERTY OWNERS.,"(A) When solid waste service is requested by a person who is not the owner of the property at which the service will be provided, that person may be subject to a deposit requirement, and may, upon the finding of a poor credit or payment history, be refused service, unless and until an additional person agrees to accept responsibility for the account as a guarantor.

(B) The guarantor must be a person with a documented good credit history with the county or other public utility. The guarantor may be released from his or her obligation for the service account upon a showing that the customer has made consecutive payments for 24 months.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,0.277587890625,-0.46875,1.1259765625,0.1363525390625
### § 50.038 COMMERCIAL SOLID WASTE CONTAINERS.,"(A) The commercial customer shall be provided with one or more 300 gallon waste containers or dumpsters, as set forth above.

(B) Location requirements include the following.

(1) The locations shall have sufficient foundation to support the weight of the collection vehicle, which may vary between 20 and 35 tons, in addition to the weight of the container.
(2) The county shall have final approval of container locations or space requirements and safety factors, including location of compaction containers to ensure proper height and width clearances.

(3) Containers shall not be placed in a manner that may obstruct the public right-of-way or pedestrian traffic.

(C) Customers shall be responsible for maintaining the solid waste containers in a sanitary condition, including exterior and interior. The container location shall be kept free of accumulating grease, decomposing materials, and litter.

(D) Waste containers shall be filled in such a manner as not to exceed 900 pounds; any containers which exceed said weight may be rejected for collection and disposal.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,0.2041015625,-0.193603515625,0.5048828125,0.1610107421875
## § 50.039 COMMERCIAL COLLECTION FREQUENCY.,"The times and days for solid waste collection shall be determined by the county.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,-0.85107421875,-1.4501953125,-0.6201171875,-1.1318359375
## § 50.050 GENERAL REQUIREMENTS AND PROHIBITIONS.,"(A) Use of the solid waste collection service provided by the county is required and mandatory for all resident premises in the county.

(B) No person shall engage in the business of collection, conveyance, or disposal of solid waste, including recyclable materials, without an agreement or license with the county, and must be delivered to the landfill compacted.

(C) No person shall cast, place, sweep, or otherwise deposit solid waste anywhere in the county in such a manner that it may be carried or deposited by the elements upon any street, sidewalk, parkway, waterway, vacant lot, public place, or any other premises.

(D) No person may deposit or relinquish for collection or disposal through the county solid waste collection program any prohibited waste. PROHIBITED WASTES include the following:

(1) Liquid wastes, both bulk and contained;

(2) Tires;

(3) Material regulated by the state or federal government as hazardous waste;

(4) Equipment, or machines containing refrigerants;

(5) Medical or infectious wastes generated from business sources, such as hospitals, clinics, medical offices, surgical offices, dental offices, veterinarian offices, nursing homes, and laboratories; and medical or infectious waste generated by any other public or private source. Generators of such waste shall manage and store the waste in a manner to prevent it from being a hazard to any person or to the general public;

(6) Dead animal remains in excess of 25 pounds, unless the remains are placed into plastic garbage bags and then into a tightly closed air-tight, water-tight container;

(7) Wastes that exhibit extreme temperatures or harmful vapors;

(8) Materials which contain corrosive, flammable, explosive, or toxic chemicals or compounds, including batteries;

(9) Materials with physical or other properties which create a risk to the environment or public health and safety or which pose an operational hazard for collection personnel; and

(10) Any solid waste materials of any kind which are generated outside of the county.

(E) Customers who generate prohibited wastes shall make arrangements for the collection and disposal of the waste through approved sources.

(F) All solid waste and recyclable materials placed for collection shall be considered the property and the responsibility of the customer until the time of collection when it shall become the property and responsibility of the county. No person shall take, examine, uncover, snoop in or through, separate, gather, collect, scavenge, or salvage solid waste materials deposited in containers or otherwise placed for collection without the express permission of the owner of the property, or the solid waste service provider once the materials have been collected. Authorized government personnel are exempt from this requirement. This provision does not create or recognize a right or expectation of individual privacy with respect to solid waste placed for collection.

(G) No person shall place or deposit any materials in or around a solid waste container provided for a specific business or premises, or in or around residential solid waste containers, except through the approval of the customer receiving service at the location or residence.
(H) No person shall allow the accumulation of solid waste upon any premises within the county unless properly contained as provided for in this chapter. Any unauthorized accumulation shall be considered a nuisance and prohibited.

(I) Waste resulting from construction activities shall be contained in a manner to prevent it from being blown, washed, or carried off the premises. All wastes at a construction site shall be collected and properly disposed of or recycled prior to the end of the construction project.

(J) No person may burn or otherwise dispose of solid waste outdoors within the county. All solid waste must be placed for collection under the provisions of this chapter.

(K) Failure of any residence or commercial premises to receive adequate solid waste collection service may be declared a public nuisance. The county shall have the right to order the abatement of such nuisance at the expense of the owner or occupant of the premises, but this shall not preclude the county or the owner from seeking recovery against other responsible persons.

(Ord. 2003-5, passed 9-22-2003) Penalty, see § 50.999",True,Rules,Nuisance,counties,id,,franklincounty,2.3046875,0.9150390625,1.2197265625,2.00390625
## § 50.051 FEES FOR SERVICE.,"(A) The county maintains the right to prescribe and regulate the rates, fees, or charges made for services pertaining to the collection and disposal of solid waste.

(B) The county shall set reasonable fees for available services, such fees to be contained in a separate solid waste schedule of fees passed by resolution or ordinance by the county. The county may amend by resolution or ordinance the fees and the types of available services from time to time as necessary, and pursuant to law.

(C) Fees will be set by resolution of the Board and will be determined based on volume of garbage, frequency of pick up, accessibility of pick up, and other such factors affecting efficient operation of the garbage collection system.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,-0.07183837890625,-0.30859375,-0.85302734375,-0.763671875
## § 50.052 ASSUMPTION OF RISK.,"Property owners and other persons accept all risk of property loss or liability for damages accruing from normal service operations, including container delivery, placement, use, or other weight-related impacts from container collection service. Any special instructions regarding placement of, or use of, containers must be disclosed by the resident, and the resident accepts all risk of property damage from the service provided at the specific location.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,-0.83203125,-0.5810546875,-0.031951904296875,-0.19189453125
## § 50.065 THE BOARD OF COUNTY COMMISSIONERS OF SOLID WASTE.,"The Board shall have the authority to:

(A) Ensure compliance with local, state, and federal rules and regulations regarding solid waste collection and disposal; and

(B) Establish guidelines and/or policies for the operation of the solid waste collection system.

(Ord. 2003-5, passed 9-22-2003)",True,Rules,Other,counties,id,,franklincounty,-0.95849609375,-1.1474609375,-0.64208984375,-0.70068359375
## § 50.066 COLLECTION ACCOUNTS.,"Charges and fees shall be assessed on the real and/or personal property tax rolls of residents or owners; certain other or additional fees may be billed by the county; if not paid by the end of the calendar year, the county has the right to add all delinquent fees onto the real property tax rolls of the person; notwithstanding such right, the county has all other remedies available at law or equity to collect delinquent fees so billed.

(Ord. 2003-5, passed 9-22-2003)",True,Enforcement,Other,counties,id,,franklincounty,0.0478515625,-0.2418212890625,-0.60546875,-0.349365234375
## § 50.067 ADMINISTRATIVE ENFORCEMENT.,"(A) The county may utilize administrative enforcement procedures with the intent to remedy violations of this chapter without the necessity of civil or criminal enforcement proceedings. The administrative enforcement proceeding shall be initiated upon service by the county of written notice upon a person in violation of this chapter, with a description of the violation and possible enforcement actions the county will utilize.

(B) Within 20 days of receipt of a written notice of violation, the resident shall respond to the county advising of its position with respect to the allegation of violation, and thereafter, shall be granted an opportunity to meet with employees of the county to discuss the violation and establish a plan for correction of the violation. Submission of a response does not relieve the resident of liability for any violations of this chapter.

(C) The county retains the right to take any necessary enforcement action without first issuing a notice of violation, and the use of administrative actions shall not preclude the county from seeking any other remedies or penalties provided for in
this chapter.

(Ord. 2003-5, passed 9-22-2003)",True,Enforcement,Other,counties,id,,franklincounty,1.341796875,0.27734375,-0.29345703125,0.634765625
## § 50.068 PUBLIC NUISANCES.,"(A) In addition to any other remedies and penalties provided for by this chapter, the county may declare a nuisance where conditions caused or permitted to exist in violation of this chapter are considered a threat to the public health, safety, and general welfare.

(B) Any condition deemed a nuisance may be summarily abated by the county or the county may take civil action to abate, enjoin, or otherwise compel the cessation of the nuisance.

(C) The cost of abatement shall be borne by the owner or resident of the property. The county shall also seek payment for all costs associated with the abatement, including, but not limited to, investigation costs, administrative costs, costs of suit, and reasonable attorney’s fees for all administrative or civil proceedings for the nuisance violation.

(Ord. 2003-5, passed 9-22-2003)",True,Enforcement,Nuisance,counties,id,,franklincounty,1.9248046875,0.075927734375,0.4326171875,2.185546875
## § 50.999 PENALTY.,"(A) Violations constitute misdemeanors. Any person violating any provision of this chapter shall be guilty of a misdemeanor. Upon conviction, the penalty may be a fine in an amount not to exceed $300, imprisonment for up to six months, or both. Each day the violation is committed or permitted to continue shall constitute a separate violation of this chapter, punishable as above.

(B) Civil actions for violations. In addition to, and exclusive of, any criminal penalty provided by this chapter, the county retains the right to utilize all civil remedies provided under state or federal law to recover any expenses incurred by the county due to a violation of this chapter. This shall include all costs associated with the collection and disposal of solid waste undertaken by the county after a violation of this chapter, any federal penalties levied against the county directly attributable to a violation of this chapter, as well as any investigation or legal expenses incurred in enforcing this chapter.

(C) Nonexclusivity of remedies. All remedies and penalties under this chapter are in addition to and do not supersede or limit any and all other remedies and penalties, both civil and criminal. The remedies provided for herein shall be cumulative and not exclusive.

(Ord. 2003-5, passed 9-22-2003)",True,Enforcement,Other,counties,id,,franklincounty,1.1298828125,0.10150146484375,-0.0246124267578125,1.658203125
## § 51.02 AUTHORITY.,"This chapter is adopted pursuant to the authority contained in Article XII, § 2 of the Constitution of the State of Idaho and Idaho Code Title 31, Chapter 44.
(Ord. 2005-1, passed - -)",False,Context,,counties,id,,franklincounty,-1.4638671875,0.58203125,-1.18359375,-1.4560546875
## § 51.03 PURPOSE.,"This chapter is enacted to collect fees for solid waste disposal in the county in order to provide funds to acquire sites, facilities, operate, and/or maintain a comprehensive solid waste disposal system in the county.

(Ord. 2005-1, passed - -)",False,Context,,counties,id,,franklincounty,-1.181640625,-1.0126953125,-0.703125,-0.5341796875
## § 51.04 DEFINITIONS.,"For the purpose of this chapter, the following definitions shall apply unless the context clearly indicates or requires a different meaning.

**BOARD.** The Board of Franklin County Commissioners.

**CLEAN DEMOLITION.** Solid waste resulting from the partial or complete destruction of a structure, or waste resulting from the construction or remodeling of a structure, consisting only of cement, dirt, rock, brick, and/or cinder block(s).

**COMMERCIAL WASTE.** Solid waste generated within Franklin County that is not residential household waste.

**GENERAL DEMOLITION.** Any solid waste resulting from the partial or complete destruction of a structure, or waste resulting from the construction or remodeling of a structure, not defined herein as “clean demolition”, and mixed loads containing clean demolition and GENERAL DEMOLITION.

**RESIDENTIAL HOUSEHOLD WASTE.** Solid waste generated at a single-family residence or dwelling in Franklin County in the normal course of daily living.

**SOLID WASTE.** Garbage, refuse, and other discarded solid materials including solid materials resulting from industrial, commercial, and agricultural operations, and from community activities. Any and all trash or litter associated with the construction or demolition of buildings to include paper, cardboard, wood scrap, shingles, concrete, and waste materials of inert nature such as ashes, plastics, metals, old vehicle parts, cinders, tires, appliances, or tree parts; and those items, including liquids which by their nature are noxious, odoriferous, or are subject to the development of bacteria, viruses, or other hazards to health including waste accumulations or animal or vegetable matter, and including waste that attends the preparation, use, serving, cooking, dealing in, or storing of meats, fish, fowl, fruits, and vegetables. The term SOLID WASTE does not include sewage, human body waste, or hazardous wastes as determined by the United States Environmental Protection Agency.

**UNSECURED LOAD.** A load of solid waste transported to the landfill in violation of Ord. 1994-2.

(Ord. 2005-1, passed - -)",False,Context,,counties,id,,franklincounty,0.494384765625,0.6708984375,0.28271484375,-0.20947265625
